fullVisitorId,type,date,visitnumber,visitstarttime,session_duration,country,channel,campaign,keyword,source,medium,device,currency,sale_type,navBar_chat_icon,started_chat,navBar_our_cars,navBar_open_menu,clicked_in_menu,signed_in,cdp_back_link,cdp_floating_cta,cdp_view_all_features,cdp_expand_accordion,cdp_semiConductor_info,cdp_main_cta,cdp_customise_car,cdp_footer_info,cdp_request_callback
2059211995729361840,cdp,2022-06-18,2,1655567052,126,United Kingdom,Social,cbv_uk_fb_test_prospecting_cadence,(not set),facebook,social,mobile,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324333284651835808,cdp,2022-06-18,1,1655579041,94,United Kingdom,Social,cbv_uk_fb_test_prospecting_cadence,(not set),facebook,social,tablet,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5136420943642323908,cdp,2022-06-18,1,1655532484,285,United Kingdom,Paid Search,volvo_uk_masterbrand_rng_cat_brd_alon_mxd_eng_pure-brand,volvo,google,cpc,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6822795841886893184,cdp,2022-06-18,1,1655583872,534,United Kingdom,Paid Search,volvo_uk_masterbrand_rng_cat_brd_alon_mxd_eng_pure-brand,volvo,google,cpc,mobile,gbp,subscription,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8807908547614324644,cdp,2022-06-18,1,1655551908,912,United Kingdom,Paid Search,cbv_uk_brand_search,(not set),google,paidsearch,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
681949570268286794,cdp,2022-05-28,1,1653755722,886,United Kingdom,Organic Search,(not set),(not provided),google,organic,mobile,gbp,subscription,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
168813583847214599,cdp,2022-05-11,3,1652289994,603,United Kingdom,Organic Search,(not set),(not provided),google,organic,mobile,gbp,subscription,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
168813583847214599,cdp,2022-05-11,5,1652297797,834,United Kingdom,Paid Search,volvo_uk_fleet_rng_cat_bgn_alon_mxd_eng_brand,volvo bik,google,cpc,mobile,gbp,subscription,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
168813583847214599,cdp,2022-05-12,7,1652358704,2386,United Kingdom,Volvo,(not set),(not set),volvocars.findvehicles.co.uk,referral,mobile,gbp,subscription,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
168813583847214599,cdp,2022-05-12,6,1652358155,368,United Kingdom,Paid Search,volvo_uk_fleet_rng_cat_bgn_alon_mxd_eng_brand,volvo bik,google,cpc,mobile,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
